Unnamed: 0,"Заработная плата, средняя по предприятию для профессии",Заработная плата вкакансии,"Текучесть, %","Отставание, %"
"('Нижний Новгород', 'РЦС Нижний Новгород', 'Электромонтёры')",48757,55452.91666666666,17.9,-12.07495848580252
"('Нижний Новгород', 'ТЧэ Горький-Сортировочный', 'Машинисты локомотивов')",89009,107600.0,10.0,-17.27788104089219
"('Нижний Новгород', 'ШЧ Горький', 'Электромонтёры СЦБ')",48499,55452.91666666666,11.2,-12.54021805285264
"('Нижний Новгород', 'ЭЧ Горький', 'Электромеханики (всех наименований)')",61951,90000.0,10.0,-31.16555555555556
"('Нижний Новгород', 'ЭЧ Горький', 'Электромонтёры к/с')",48381,55452.91666666666,30.9,-12.75301118817014
"('Нижний Новгород, ст. Костариха', 'Нижегородский ДЦС', 'Составитель поездов')",58525,73150.5,0.0,-19.99371159458924
"('Октябрьский', 'ПЧ Красноуфимск', 'Монтёры пути')",46902,59866.66666666666,20.3,-21.65590200445434
"('Оричевский р-н', 'ПЧ Котельнич', 'Монтёры пути')",44225,56450.0,35.4,-21.6563330380868
"('Оричевский р-н', 'ЭЧ Киров', 'Электромонтёры к/с')",48252,55833.33333333334,39.6,-13.57850746268657
"('Оричевский р-н, ст. Стрижи', 'Кировский ДЦС', 'Составитель поездов')",60127,83200.0,73.8,-27.73197115384615
"('Оричи', 'Кировский ДЦС', 'Дежурные по станциям')",59054,78182.0,28.0,-24.46598961397764
"('Петушки', 'ЭЧ Владимир', 'Электромеханики (всех наименований)')",73784,87240.0,23.0,-15.42411737734984
"('Пильнинский р-н', 'ПЧ Сергач', 'Монтёры пути')",39133,45160.0,10.8,-13.3458813108946
"('Подосиновский р-н', 'ИЧ Мураши', 'Монтёры пути')",41738,46250.0,12.7,-9.755675675675676
"('Подосиновский р-н, ст. Подосиновец (пос. Демьяново)', 'Кировский ДЦС', 'Дежурные по станциям')",73084,100000.0,15.1,-26.916
"('Подосиновский р-н, ст. Подосиновец (пос. Демьяново)', 'Кировский ДЦС', 'Составитель поездов')",66769,100000.0,0.0,-33.231
"('Починковкий р-н', 'ПЧ Лукоянов', 'Монтёры пути')",43586,57200.0,0.0,-23.8006993006993
"('Просница', 'Кировский ДЦС', 'Дежурные по станциям')",80462,119200.0,52.2,-32.498322147651
